"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2026","401,830","401,830","401,830","401,830","","-0.25%"
"03/17/2026","402,828","402,828","402,828","402,828","","-0.65%"
"03/16/2026","405,451","405,451","405,451","405,451","","0.16%"
"03/13/2026","404,805","404,805","404,805","404,805","","0.50%"
"03/12/2026","402,778","402,778","402,778","402,778","","0.62%"
"03/11/2026","400,277","400,277","400,277","400,277","","-0.88%"
"03/10/2026","403,846","403,846","403,846","403,846","","0.17%"
"03/09/2026","403,156","403,156","403,156","403,156","","0.18%"
"03/06/2026","402,440","402,440","402,440","402,440","","-0.60%"
"03/05/2026","404,862","404,862","404,862","404,862","","0.14%"
"03/04/2026","404,277","404,277","404,277","404,277","","0.63%"
"03/03/2026","401,742","401,742","401,742","401,742","","0.34%"
"03/02/2026","400,383","400,383","400,383","400,383","","-0.99%"
"02/27/2026","404,405","404,405","404,405","404,405","","0.66%"
"02/26/2026","401,734","401,734","401,734","401,734","","0.53%"
"02/25/2026","399,616","399,616","399,616","399,616","","0.52%"
"02/24/2026","397,533","397,533","397,533","397,533","","-0.19%"
"02/23/2026","398,289","398,289","398,289","398,289","","-0.34%"
"02/20/2026","399,651","399,651","399,651","399,651","","0.37%"
"02/19/2026","398,158","398,158","398,158","398,158","","-0.38%"
"02/17/2026","399,679","399,679","399,679","399,679","","0.21%"
"02/16/2026","398,831","398,831","398,831","398,831","","0.47%"
"02/13/2026","396,979","396,979","396,979","396,979","","-0.64%"
"02/12/2026","399,519","399,519","399,519","399,519","","-0.30%"
"02/11/2026","400,729","400,729","400,729","400,729","","-0.37%"
"02/10/2026","402,201","402,201","402,201","402,201","","1.29%"
"02/09/2026","397,096","397,096","397,096","397,096","","0.04%"
"02/06/2026","396,928","396,928","396,928","396,928","","0.77%"
"02/05/2026","393,890","393,890","393,890","393,890","","-0.96%"
"02/04/2026","397,711","397,711","397,711","397,711","","-1.72%"
"02/03/2026","404,662","404,662","404,662","404,662","","0.77%"
"02/02/2026","401,580","401,580","401,580","401,580","","-0.46%"
"01/30/2026","403,423","403,423","403,423","403,423","","0.21%"
"01/29/2026","402,576","402,576","402,576","402,576","","-0.70%"
"01/28/2026","405,432","405,432","405,432","405,432","","1.32%"
"01/27/2026","400,166","400,166","400,166","400,166","","1.15%"
"01/26/2026","395,624","395,624","395,624","395,624","","1.33%"
"01/23/2026","390,429","390,429","390,429","390,429","","1.57%"
"01/22/2026","384,386","384,386","384,386","384,386","","0.48%"
"01/21/2026","382,567","382,567","382,567","382,567","","0.07%"
"01/20/2026","382,287","382,287","382,287","382,287","","-0.16%"
"01/19/2026","382,891","382,891","382,891","382,891","","0.25%"
"01/16/2026","381,926","381,926","381,926","381,926","","-0.90%"
"01/15/2026","385,387","385,387","385,387","385,387","","-1.75%"
"01/14/2026","392,257","392,257","392,257","392,257","","-1.12%"
"01/13/2026","396,697","396,697","396,697","396,697","","2.96%"
"01/12/2026","385,304","385,304","385,304","385,304","","1.78%"
"01/09/2026","378,571","378,571","378,571","378,571","","0.50%"
"01/08/2026","376,704","376,704","376,704","376,704","","1.15%"
"01/07/2026","372,437","372,437","372,437","372,437","","0.97%"
"01/06/2026","368,855","368,855","368,855","368,855","","1.47%"
"01/05/2026","363,506","363,506","363,506","363,506","","-1.01%"
"01/02/2026","367,200","367,200","367,200","367,200","","0.52%"
"12/31/2025","365,314","365,314","365,314","365,314","","0.77%"
"12/30/2025","362,531","362,531","362,531","362,531","","-0.21%"
"12/29/2025","363,311","363,311","363,311","363,311","","0.15%"
"12/24/2025","362,759","362,759","362,759","362,759","","0.64%"
"12/23/2025","360,442","360,442","360,442","360,442","","1.19%"
"12/22/2025","356,210","356,210","356,210","356,210","","-1.22%"
"12/19/2025","360,613","360,613","360,613","360,613","","-0.28%"
"12/18/2025","361,622","361,622","361,622","361,622","","-0.53%"
"12/17/2025","363,566","363,566","363,566","363,566","","0.43%"
"12/16/2025","362,003","362,003","362,003","362,003","","0.32%"
"12/15/2025","360,865","360,865","360,865","360,865","","0.12%"
"12/12/2025","360,441","360,441","360,441","360,441","","1.17%"
"12/11/2025","356,291","356,291","356,291","356,291","","-0.35%"
"12/10/2025","357,552","357,552","357,552","357,552","","0.06%"
"12/09/2025","357,330","357,330","357,330","357,330","","0.80%"
"12/08/2025","354,496","354,496","354,496","354,496","","-1.13%"
"12/05/2025","358,550","358,550","358,550","358,550","","-0.54%"
"12/04/2025","360,499","360,499","360,499","360,499","","0.67%"
"12/03/2025","358,083","358,083","358,083","358,083","","0.00%"
"12/02/2025","358,079","358,079","358,079","358,079","","-1.03%"
"12/01/2025","361,820","361,820","361,820","361,820","","-0.57%"
"11/28/2025","363,894","363,894","363,894","363,894","","0.99%"
"11/27/2025","360,345","360,345","360,345","360,345","","0.57%"
"11/26/2025","358,294","358,294","358,294","358,294","","-0.40%"
"11/25/2025","359,722","359,722","359,722","359,722","","0.63%"
"11/24/2025","357,471","357,471","357,471","357,471","","0.46%"
"11/21/2025","355,824","355,824","355,824","355,824","","-0.72%"
"11/20/2025","358,406","358,406","358,406","358,406","","0.19%"
"11/19/2025","357,733","357,733","357,733","357,733","","1.14%"
"11/18/2025","353,686","353,686","353,686","353,686","","-1.00%"
"11/17/2025","357,242","357,242","357,242","357,242","","0.53%"
"11/14/2025","355,352","355,352","355,352","355,352","","0.35%"
"11/13/2025","354,099","354,099","354,099","354,099","","-0.53%"
"11/12/2025","356,002","356,002","356,002","356,002","","-0.45%"
"11/11/2025","357,604","357,604","357,604","357,604","","0.16%"
"11/10/2025","357,036","357,036","357,036","357,036","","-0.40%"
"11/07/2025","358,486","358,486","358,486","358,486","","-0.70%"
"11/06/2025","361,026","361,026","361,026","361,026","","-0.91%"
"11/05/2025","364,343","364,343","364,343","364,343","","-0.27%"
"11/04/2025","365,345","365,345","365,345","365,345","","-0.32%"
"11/03/2025","366,506","366,506","366,506","366,506","","-0.53%"
"10/31/2025","368,448","368,448","368,448","368,448","","0.18%"
"10/30/2025","367,771","367,771","367,771","367,771","","0.03%"
"10/24/2025","367,665","367,665","367,665","367,665","","1.18%"
"10/23/2025","363,373","363,373","363,373","363,373","","0.43%"
"10/22/2025","361,822","361,822","361,822","361,822","","-1.16%"
"10/21/2025","366,061","366,061","366,061","366,061","","0.00%"
"10/17/2025","366,044","366,044","366,044","366,044","","0.14%"
"10/16/2025","365,547","365,547","365,547","365,547","","-0.48%"
"10/15/2025","367,298","367,298","367,298","367,298","","-0.26%"
"10/14/2025","368,263","368,263","368,263","368,263","","0.24%"
"10/13/2025","367,397","367,397","367,397","367,397","","0.22%"
"10/10/2025","366,588","366,588","366,588","366,588","","-0.24%"
"10/09/2025","367,466","367,466","367,466","367,466","","-0.58%"
"10/08/2025","369,619","369,619","369,619","369,619","","0.48%"
"10/07/2025","367,849","367,849","367,849","367,849","","-0.45%"
"10/06/2025","369,513","369,513","369,513","369,513","","0.19%"
"10/03/2025","368,799","368,799","368,799","368,799","","-0.09%"
"10/02/2025","369,134","369,134","369,134","369,134","","-0.23%"
"10/01/2025","369,974","369,974","369,974","369,974","","-0.59%"
"09/30/2025","372,171","372,171","372,171","372,171","","1.41%"
"09/29/2025","367,001","367,001","367,001","367,001","","-0.09%"
"09/26/2025","367,322","367,322","367,322","367,322","","0.84%"
"09/25/2025","364,254","364,254","364,254","364,254","","-0.45%"
"09/24/2025","365,919","365,919","365,919","365,919","","-0.21%"
"09/23/2025","366,685","366,685","366,685","366,685","","-0.27%"
"09/22/2025","367,686","367,686","367,686","367,686","","0.23%"
"09/19/2025","366,839","366,839","366,839","366,839","","-0.05%"
"09/18/2025","367,032","367,032","367,032","367,032","","-0.57%"
"09/17/2025","369,141","369,141","369,141","369,141","","0.40%"
"09/16/2025","367,671","367,671","367,671","367,671","","-0.18%"
"09/15/2025","368,332","368,332","368,332","368,332","","0.20%"
"09/12/2025","367,588","367,588","367,588","367,588","","0.45%"
"09/11/2025","365,925","365,925","365,925","365,925","","-0.04%"
"09/10/2025","366,086","366,086","366,086","366,086","","0.29%"
"09/09/2025","365,040","365,040","365,040","365,040","","0.14%"
"09/08/2025","364,546","364,546","364,546","364,546","","-0.72%"
"09/05/2025","367,176","367,176","367,176","367,176","","0.68%"
"09/04/2025","364,712","364,712","364,712","364,712","","-0.11%"
"09/03/2025","365,123","365,123","365,123","365,123","","-0.33%"
"09/02/2025","366,316","366,316","366,316","366,316","11.39M","-0.28%"
"09/01/2025","367,335","367,335","367,335","367,335","7.36M","-0.54%"
"08/29/2025","369,319","369,319","369,319","369,319","22.66M","1.63%"
"08/28/2025","363,392","363,392","363,392","363,392","20.42M","0.20%"
"08/27/2025","362,682","362,682","362,682","362,682","15.72M","0.18%"
"08/26/2025","362,036","362,036","362,036","362,036","15.52M","-0.06%"
"08/25/2025","362,253","362,253","362,253","362,253","16.44M","-0.11%"
"08/22/2025","362,663","362,663","362,663","362,663","17.84M","0.70%"
"08/21/2025","360,125","360,125","360,125","360,125","12.13M","-0.51%"
"08/20/2025","361,966","361,966","361,966","361,966","27.81M","0.23%"
"08/19/2025","361,130","361,130","361,130","361,130","12.49M","0.24%"
"08/18/2025","360,257","360,257","360,257","360,257","13.30M","-0.64%"
"08/15/2025","362,569","362,569","362,569","362,569","5.53M","0.54%"
"08/14/2025","360,634","360,634","360,634","360,634","9.20M","-0.02%"
"08/13/2025","360,711","360,711","360,711","360,711","22.45M","0.63%"
"08/12/2025","358,438","358,438","358,438","358,438","5.42M","0.66%"
"08/11/2025","356,077","356,077","356,077","356,077","47.16M","0.51%"
"08/08/2025","354,262","354,262","354,262","354,262","13.68M","0.36%"
"08/07/2025","352,994","352,994","352,994","352,994","7.52M","-0.50%"
"08/05/2025","354,759","354,759","354,759","354,759","13.63M","0.35%"
"08/04/2025","353,528","353,528","353,528","353,528","14.52M","-0.57%"
"07/31/2025","355,541","355,541","355,541","355,541","54.90M","0.68%"
"07/30/2025","353,149","353,149","353,149","353,149","54.82M","0.61%"
"07/29/2025","351,016","351,016","351,016","351,016","14.88M","0.52%"
"07/28/2025","349,209","349,209","349,209","349,209","13.34M","0.35%"
"07/25/2025","347,992","347,992","347,992","347,992","8.34M","-0.81%"
"07/24/2025","350,826","350,826","350,826","350,826","13.25M","-0.02%"
"07/23/2025","350,896","350,896","350,896","350,896","5.34M","0.10%"
"07/22/2025","350,537","350,537","350,537","350,537","9.19M","-0.37%"
"07/21/2025","351,848","351,848","351,848","351,848","12.90M","-0.16%"
"07/18/2025","352,407","352,407","352,407","352,407","8.15M","-0.67%"
"07/17/2025","354,774","354,774","354,774","354,774","8.35M","0.83%"
"07/16/2025","351,870","351,870","351,870","351,870","8.04M","-0.30%"
"07/15/2025","352,920","352,920","352,920","352,920","6.74M","0.02%"
"07/14/2025","352,851","352,851","352,851","352,851","10.11M","-0.04%"
"07/11/2025","352,976","352,976","352,976","352,976","12.62M","-0.86%"
"07/10/2025","356,036","356,036","356,036","356,036","5.81M","0.86%"
"07/09/2025","352,987","352,987","352,987","352,987","5.87M","-0.60%"
"07/08/2025","355,133","355,133","355,133","355,133","8.92M","0.00%"
"07/07/2025","355,131","355,131","355,131","355,131","34.32M","-1.57%"
"07/04/2025","360,787","360,787","360,787","360,787","18.27M","0.69%"
"07/03/2025","358,308","358,308","358,308","358,308","12.07M","-0.42%"
"07/02/2025","359,802","359,802","359,802","359,802","13.50M","-0.96%"
"07/01/2025","363,296","363,296","363,296","363,296","8.89M","-1.24%"
"06/30/2025","367,867","367,867","367,867","367,867","32.83M","1.86%"
"06/27/2025","361,144","361,144","361,144","361,144","17.30M","0.51%"
"06/26/2025","359,325","359,325","359,325","359,325","18.41M","0.72%"
"06/25/2025","356,769","356,769","356,769","356,769","11.82M","-0.40%"
"06/24/2025","358,210","358,210","358,210","358,210","8.66M","-0.83%"
"06/23/2025","361,208","361,208","361,208","361,208","6.97M","0.57%"
"06/20/2025","359,171","359,171","359,171","359,171","4.83M","0.23%"
"06/19/2025","358,341","358,341","358,341","358,341","6.61M","-0.07%"
"06/18/2025","358,606","358,606","358,606","358,606","7.39M","-0.15%"
"06/17/2025","359,136","359,136","359,136","359,136","11.03M","0.13%"
"06/16/2025","358,666","358,666","358,666","358,666","5.15M","-1.11%"
"06/13/2025","362,705","362,705","362,705","362,705","5.76M","0.33%"
"06/12/2025","361,499","361,499","361,499","361,499","12.22M","0.22%"
"06/11/2025","360,689","360,689","360,689","360,689","14.52M","-1.31%"
"06/10/2025","365,486","365,486","365,486","365,486","7.32M","-0.08%"
"06/09/2025","365,793","365,793","365,793","365,793","5.59M","-1.11%"
"06/06/2025","369,906","369,906","369,906","369,906","5.72M","0.17%"
"06/05/2025","369,285","369,285","369,285","369,285","13.17M","0.51%"
"06/04/2025","367,403","367,403","367,403","367,403","5.41M","-0.80%"
"06/03/2025","370,384","370,384","370,384","370,384","6.52M","-1.14%"
"06/02/2025","374,638","374,638","374,638","374,638","10.02M","0.14%"
"05/30/2025","374,106","374,106","374,106","374,106","22.89M","0.26%"
"05/29/2025","373,127","373,127","373,127","373,127","16.58M","1.11%"
"05/28/2025","369,043","369,043","369,043","369,043","14.83M","-0.11%"
"05/27/2025","369,434","369,434","369,434","369,434","9.56M","0.55%"
"05/26/2025","367,408","367,408","367,408","367,408","9.72M","0.01%"
"05/22/2025","367,388","367,388","367,388","367,388","5.86M","0.35%"
"05/21/2025","366,093","366,093","366,093","366,093","9.83M","-0.07%"
"05/20/2025","366,344","366,344","366,344","366,344","29.31M","-1.29%"
"05/19/2025","371,144","371,144","371,144","371,144","14.83M","0.33%"
"05/16/2025","369,936","369,936","369,936","369,936","13.39M","0.12%"
"05/15/2025","369,489","369,489","369,489","369,489","23.98M","-0.18%"
"05/13/2025","370,173","370,173","370,173","370,173","16.51M","-0.44%"
"05/12/2025","371,800","371,800","371,800","371,800","11.15M","0.28%"
"05/09/2025","370,756","370,756","370,756","370,756","16.96M","0.06%"
"05/08/2025","370,533","370,533","370,533","370,533","21.45M","-0.59%"
"05/07/2025","372,744","372,744","372,744","372,744","5.27M","-0.04%"
"05/06/2025","372,893","372,893","372,893","372,893","9.32M","-0.34%"
"05/05/2025","374,147","374,147","374,147","374,147","5.97M","0.42%"
"05/02/2025","372,580","372,580","372,580","372,580","5.33M","-0.10%"
"05/01/2025","372,957","372,957","372,957","372,957","14.45M","-1.33%"
"04/30/2025","377,999","377,999","377,999","377,999","20.84M","0.97%"
"04/29/2025","374,373","374,373","374,373","374,373","13.96M","0.82%"
"04/28/2025","371,313","371,313","371,313","371,313","13.09M","2.22%"
"04/25/2025","363,235","363,235","363,235","363,235","6.17M","-0.23%"
"04/24/2025","364,076","364,076","364,076","364,076","9.43M","0.46%"
"04/23/2025","362,406","362,406","362,406","362,406","7.80M","0.18%"
"04/22/2025","361,766","361,766","361,766","361,766","11.42M","0.35%"
"04/17/2025","360,489","360,489","360,489","360,489","13.73M","-0.22%"
"04/16/2025","361,298","361,298","361,298","361,298","26.11M","-0.30%"
"04/15/2025","362,383","362,383","362,383","362,383","13.27M","-0.58%"
"04/14/2025","364,494","364,494","364,494","364,494","8.16M","-0.37%"
"04/11/2025","365,852","365,852","365,852","365,852","12.18M","-0.51%"
"04/10/2025","367,724","367,724","367,724","367,724","1.23B","-0.28%"
"04/09/2025","368,744","368,744","368,744","368,744","93.95M","-0.38%"
"04/08/2025","370,134","370,134","370,134","370,134","10.82M","-0.76%"
"04/07/2025","372,966","372,966","372,966","372,966","13.69M","-0.55%"
"04/04/2025","375,041","375,041","375,041","375,041","69.09M","0.37%"
"04/03/2025","373,662","373,662","373,662","373,662","25.79M","-0.48%"
"04/02/2025","375,446","375,446","375,446","375,446","35.12M","-0.73%"
"04/01/2025","378,196","378,196","378,196","378,196","22.40M","-1.30%"
"03/31/2025","383,180","383,180","383,180","383,180","34.90M","1.37%"
"03/28/2025","378,006","378,006","378,006","378,006","211.49M","0.39%"
"03/27/2025","376,545","376,545","376,545","376,545","197.08M","-0.05%"
"03/26/2025","376,726","376,726","376,726","376,726","29.55M","-0.53%"
"03/25/2025","378,729","378,729","378,729","378,729","14.68M","0.38%"
"03/24/2025","377,284","377,284","377,284","377,284","21.59M","0.35%"
"03/21/2025","375,986","375,986","375,986","375,986","14.91M","0.93%"
"03/20/2025","372,528","372,528","372,528","372,528","9.08M","-0.54%"
"03/19/2025","374,532","374,532","374,532","374,532","7.17M","-0.35%"
"03/18/2025","375,839","375,839","375,839","375,839","9.96M","0.00%"
"03/17/2025","375,822","375,822","375,822","375,822","14.71M","-0.57%"
"03/14/2025","377,974","377,974","377,974","377,974","15.67M","0.20%"
"03/13/2025","377,202","377,202","377,202","377,202","6.36M","-0.45%"
"03/12/2025","378,896","378,896","378,896","378,896","41.44M","-0.64%"
"03/11/2025","381,353","381,353","381,353","381,353","18.40M","-0.23%"
"03/10/2025","382,235","382,235","382,235","382,235","8.45M","0.31%"
"03/07/2025","381,039","381,039","381,039","381,039","15.93M","0.43%"
"03/06/2025","379,410","379,410","379,410","379,410","9.50M","-0.30%"
"03/04/2025","380,551","380,551","380,551","380,551","357.25M","-0.90%"
"03/03/2025","384,025","384,025","384,025","384,025","13.33M","-0.14%"
"02/28/2025","384,557","384,557","384,557","384,557","22.16M","0.55%"
"02/27/2025","382,454","382,454","382,454","382,454","19.24M","0.67%"
"02/26/2025","379,906","379,906","379,906","379,906","24.69M","0.37%"
"02/25/2025","378,492","378,492","378,492","378,492","13.17M","0.14%"
"02/24/2025","377,945","377,945","377,945","377,945","6.19M","-0.09%"
"02/21/2025","378,269","378,269","378,269","378,269","13.46M","-0.17%"
"02/20/2025","378,897","378,897","378,897","378,897","6.45M","-0.38%"
"02/19/2025","380,351","380,351","380,351","380,351","12.73M","0.20%"
"02/18/2025","379,598","379,598","379,598","379,598","13.07M","-0.15%"
"02/17/2025","380,154","380,154","380,154","380,154","11.74M","-0.25%"
"02/14/2025","381,116","381,116","381,116","381,116","3.60M","-0.32%"
"02/13/2025","382,325","382,325","382,325","382,325","8.94M","0.39%"
"02/12/2025","380,836","380,836","380,836","380,836","6.89M","-0.48%"
"02/11/2025","382,678","382,678","382,678","382,678","73.07M","0.17%"
"02/10/2025","382,033","382,033","382,033","382,033","8.36M","0.33%"
"02/07/2025","380,783","380,783","380,783","380,783","16.35M","0.12%"
"02/06/2025","380,323","380,323","380,323","380,323","7.56M","-0.77%"
"02/05/2025","383,262","383,262","383,262","383,262","10.71M","-0.40%"
"02/04/2025","384,795","384,795","384,795","384,795","17.62M","-1.07%"
"02/03/2025","388,945","388,945","388,945","388,945","5.23M","0.66%"
"01/31/2025","386,394","386,394","386,394","386,394","20.56M","0.53%"
"01/30/2025","384,355","384,355","384,355","384,355","33.14M","0.00%"
"01/29/2025","384,340","384,339","384,339","384,339","20.23M","0.22%"
"01/28/2025","383,505","383,505","383,505","383,505","16.07M","-1.07%"
"01/27/2025","387,640","387,640","387,640","387,640","13.10M","0.79%"
"01/24/2025","384,617","384,617","384,617","384,617","14.61M","1.05%"
"01/23/2025","380,610","380,610","380,610","380,610","6.12M","-0.11%"
"01/22/2025","381,011","381,011","381,011","381,011","14.19M","-0.47%"
"01/21/2025","382,823","382,822","382,822","382,822","9.33M","-0.63%"
"01/20/2025","385,258","385,258","385,258","385,258","5.03M","0.14%"
"01/17/2025","384,717","384,717","384,717","384,717","25.17M","-0.07%"
"01/16/2025","384,974","384,974","384,974","384,974","12.87M","0.34%"
"01/15/2025","383,681","383,681","383,681","383,681","14.80M","0.81%"
"01/14/2025","380,595","380,595","380,595","380,595","7.76M","-0.54%"
"01/13/2025","382,676","382,676","382,676","382,676","13.35M","-0.65%"
"01/10/2025","385,186","385,186","385,186","385,186","8.51M","0.63%"
"01/09/2025","382,790","382,790","382,790","382,790","27.18M","-0.03%"
"01/08/2025","382,899","382,899","382,899","382,899","7.54M","-0.36%"
"01/07/2025","384,292","384,292","384,292","384,292","26.02M","0.32%"
"01/06/2025","383,075","383,075","383,075","383,075","13.16M","-1.39%"
"01/03/2025","388,467","388,467","388,467","388,467","19.40M","0.40%"
"01/02/2025","386,929","386,929","386,929","386,929","10.29M","-0.34%"
"12/31/2024","388,230","388,230","388,230","388,230","31.15M","0.73%"
"12/30/2024","385,402","385,402","385,402","385,402","40.12M","0.86%"
"12/27/2024","382,135","382,135","382,135","382,135","43.79M","1.07%"
"12/24/2024","378,087","378,087","378,087","378,087","15.34M","0.98%"
"12/23/2024","374,404","374,404","374,404","374,404","429.55M","1.41%"
"12/20/2024","369,207","369,207","369,207","369,207","34.96M","-0.68%"
"12/19/2024","371,726","371,726","371,726","371,726","19.76M","0.03%"
"12/18/2024","371,602","371,602","371,602","371,602","10.84M","-0.04%"
